Name,Points,Category,Status,Writeup
basic-file-exploit,100,pwn,Solved,[click here!](https://jktrn.github.io/ctfs/pico22/pwn/basic-file-exploit/)
buffer overflow 0,100,pwn,Solved,[click here!](https://jktrn.github.io/ctfs/pico22/pwn/buffer-overflow-0/)
CVE-XXXX-XXXX,100,pwn,Solved,[click here!](https://jktrn.github.io/ctfs/pico22/pwn/cve-xxxx-xxxx/)
buffer overflow 1,200,pwn,Solved,
RPS,200,pwn,Solved,
x-sixty-what,200,pwn,Solved,
buffer overflow 2,300,pwn,Solved,
buffer overflow 3,300,pwn,Solved,
flag leak,300,pwn,Unsolved,
ropfu,300,pwn,Unsolved,
wine,300,pwn,Unsolved,
function overwrite,400,pwn,Unsolved,
stack cache,400,pwn,Unsolved,
solfire,500,pwn,Unsolved,
basic-mod1,100,crypto,Solved,
basic-mod2,100,crypto,Solved,
credstuff,100,crypto,Solved,
morse-code,100,crypto,Solved,
substitution0,100,crypto,Solved,
substitution1,100,crypto,Solved,
substitution2,100,crypto,Solved,
transposition-trial,100,crypto,Solved,
Vigenere,100,crypto,Solved,
Very Smooth,300,crypto,Unsolved,
Sequences,400,crypto,Unsolved,
Sum-O-Primes,400,crypto,Unsolved,
NSA Backdoor,500,crypto	,Unsolved,
Enhance!,100,forensics,Solved,
File types,100,forensics,Solved,
Lookey here,100,forensics,Solved,
Packets Primer,100,forensics,Solved,
Redaction gone wrong,100,forensics,Solved,
Sleuthkit Intro,100,forensics,Solved,
Sleuthkit Apprentice,200,forensics,Solved,
Eavesdrop,300,forensics,Solved,
Operation Oni,300,forensics,Solved,
St3g0,300,forensics,Solved,
Operation Orchid,400,forensics,Solved,
SideChannel,400,forensics,Solved,
Torrent Analyze,400,forensics,Unsolved,
file-run1,100,re,Solved,
file-run2,100,re,Solved,
GDB Test Drive,100,re,Solved,
patchme.py,100,re,Solved,
Safe Opener,100,re,Solved,
unpackme.py,100,re,Solved,
bloat.py,200,re,Solved,
Fresh Java,200,re,Solved,
Bbbbloat,300,re,Solved,
unpackme,300,re,Solved,
Keygenme,400,re,Unsolved,
Wizardlike,500,re,Unsolved,
Includes,100,web,Solved,
Inspect HTML,100,web,Solved,
Local Authority,100,web,Solved,
Search source,100,web,Solved,
Forbidden Paths,200,web,Solved,
Power Cookie,200,web,Solved,
Roboto Sans,200,web,Solved,
Secrets,200,web,Solved,
SQL Direct,300,web,Solved,
SQLiLite,300,web,Solved,
Live Art,500,web,Unsolved,
Noted,500,web,Unsolved,
,,,,
,,,,
,,,,
,,,,
,,,,
